,unnamed: 0,item_id,name,categori,price,old_pric,sellable_onlin,link,other_color,short_descript,design,depth,height,width,product_img,unnamed: 15
0,3700,10219178,add,dining furnitur,49,no old pric,true,https://www.ikea.com/sa/en/p/adde-chair-white-10219178/,ye,"chair, whit",marcus arvonen,34.0,45.0,39.0,https://www.ikea.com/sa/en/images/products/adde-chair-white__0728280_pe736170_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__0872085_pe594884_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__0872092_pe716742_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__1052546_pe846201_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__1052547_pe846202_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__1052545_pe846250_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__0437187_pe590726_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__1052544_pe846199_s5.jpg?f=,
1,2605,90217972,adil,tables & desk,35,no old pric,true,https://www.ikea.com/sa/en/p/adils-leg-white-90217972/,ye,"leg, whit",unknown,,70.0,,https://www.ikea.com/sa/en/images/products/adils-leg-white__0734621_pe739540_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adils-leg-white__1028383_pe835319_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adils-leg-white__1158813_pe888197_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adils-leg-white__0849380_pe559901_s5.jpg?f=,
2,3866,19481565,ã„lvsta,dining furnitur,309,no old pric,true,https://www.ikea.com/sa/en/p/aelvsta-chair-handmade-rattan-sefast-white-s19481565/,ye,"chair, handmade rattan/sefast whit",unknown,,,,https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1115725_pe872233_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1122530_pe874613_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1122529_pe874611_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1115724_pe872234_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1115723_pe872232_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1115697_pe872217_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1122531_pe874612_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1099831_pe865948_s5.jpg?f=,
3,2751,30492275,ã„ngesbyn,chests of drawers & drawer unit,499,no old pric,true,https://www.ikea.com/sa/en/p/aengesbyn-storage-table-black-pine-light-brown-stained-30492275/,no,"storage table, black/pine light brown stained,",johanna jelinek,,48.0,,https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055447_pe848035_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1058047_ph181466_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1119726_ph184642_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055665_pe848032_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055445_pe848036_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055444_pe848034_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055664_pe848033_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055663_pe848031_s5.jpg?f=,
4,856,20506225,ã„pplaryd,sofa,"3,495",no old pric,true,https://www.ikea.com/sa/en/p/aepplaryd-2-seat-sofa-lejde-grey-black-20506225/,ye,"2-seat sofa, lejde grey/black",maja ganszyniec,61.0,47.0,199.0,https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__0992862_pe820289_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1023705_pe833223_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1031509_pe836509_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1032008_pe836731_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1031505_pe836505_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1032006_pe836733_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1039251_pe840105_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1134557_pe878807_s5.jpg?f=,
5,789,99429535,ã„pplaryd,sofa,"5,990",no old pric,true,https://www.ikea.com/sa/en/p/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black-s99429535/,ye,"4-seat sofa with chaise longue, lejde grey/black",unknown,,,,https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1010449_pe828074_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1036581_pe838458_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1023725_pe833239_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1031540_pe836523_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1031536_pe836519_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1031505_pe836505_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1031509_pe836509_s5.jpg?f=,
6,877,20506268,ã„pplaryd,sofa,"1,995",no old pric,true,https://www.ikea.com/sa/en/p/aepplaryd-chaise-longue-section-lejde-light-grey-20506268/,ye,"chaise longue section, lejde light grey",maja ganszyniec,129.0,47.0,93.0,https://www.ikea.com/sa/en/images/products/aepplaryd-chaise-longue-section-lejde-light-grey__0992962_pe820367_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-chaise-longue-section-lejde-light-grey__1031541_pe836518_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-chaise-longue-section-lejde-light-grey__1031537_pe836520_s5.jpg?f=,
7,486,20556461,aftonsparv,children's furnitur,129,no old pric,true,https://www.ikea.com/sa/en/p/aftonsparv-childrens-tent-rocket-white-red-20556461/,no,"children's tent, rocket white/r",marta krupiå„ska,,135.0,118.0,https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1182762_pe897294_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1192987_pe901307_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1196159_pe902807_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1192999_pe901312_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1193002_pe901314_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1196160_pe902812_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1268878_ph194468_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1268557_ph195772_s5.jpg?f=,
8,578,70253541,agam,dining furnitur,279,no old pric,true,https://www.ikea.com/sa/en/p/agam-junior-chair-black-70253541/,no,"junior chair, black",ikea of sweden,29.0,52.0,28.0,https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__0727930_pe735946_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__0873588_pe613512_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__0873572_pe613490_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__0873584_pe613510_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__1062081_pe850647_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__1081315_ph172519_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__1094871_ph179967_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__1094870_ph180112_s5.jpg?f=,
9,570,90253535,agam,dining furnitur,279,no old pric,true,https://www.ikea.com/sa/en/p/agam-junior-chair-white-90253535/,no,"junior chair, whit",ikea of sweden,29.0,52.0,28.0,https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__0727929_pe735943_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__0873896_pe613517_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1094863_ph167225_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1094864_ph167091_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1062081_pe850647_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1094859_ph178194_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1094865_ph176199_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__0873871_pe613509_s5.jpg?f=,
10,4405,19390773,agen,armchairs & chaise longu,338,no old pric,fals,https://www.ikea.com/sa/en/p/agen-armchair-with-cushion-rattan-norna-natural-s19390773/,no,"armchair with cushion, rattan/norna natur",unknown,,,,https://www.ikea.com/sa/en/images/products/agen-armchair-with-cushion-rattan-norna-natural__0920440_pe787034_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agen-armchair-with-cushion-rattan-norna-natural__1059380_ph176844_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agen-armchair-with-cushion-rattan-norna-natural__0920441_pe787033_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agen-armchair-with-cushion-rattan-norna-natural__0841129_pe585560_s5.jpg?f=,
11,2073,80554077,ã…kerbruk,bookcases & shelving unit,45,no old pric,true,https://www.ikea.com/sa/en/p/akerbruk-wall-organiser-w-hooks-80554077/,no,"wall organiser w hooks,",ikea of sweden,12.0,26.0,42.0,https://www.ikea.com/sa/en/images/products/akerbruk-wall-organiser-w-hooks__1177272_pe895280_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/akerbruk-wall-organiser-w-hooks__1166349_pe891121_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/akerbruk-wall-organiser-w-hooks__1177275_pe895281_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/akerbruk-wall-organiser-w-hooks__1167724_pe891684_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/akerbruk-wall-organiser-w-hooks__1167334_pe891525_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/akerbruk-wall-organiser-w-hooks__1166350_pe891122_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/akerbruk-wall-organiser-w-hooks__1194990_pe902198_s5.jpg?f=,
12,2677,50473563,alex,tables & desk,799,no old pric,true,https://www.ikea.com/sa/en/p/alex-desk-black-brown-50473563/,no,"desk, black-brown,",johanna asshoff,48.0,76.0,100.0,https://www.ikea.com/sa/en/images/products/alex-desk-black-brown__0977655_pe813723_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-black-brown__0824319_pe776059_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-black-brown__0995579_pe821762_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-black-brown__0995557_pe821748_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-black-brown__0824318_pe776060_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-black-brown__0995618_pe821788_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-black-brown__0824316_pe776058_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-black-brown__1005734_pe825506_s5.jpg?f=,
13,2600,80483805,alex,tables & desk,999,no old pric,true,https://www.ikea.com/sa/en/p/alex-desk-grey-turquoise-80483805/,ye,"desk, grey-turquoise,",johanna asshoff,58.0,76.0,132.0,https://www.ikea.com/sa/en/images/products/alex-desk-grey-turquoise__0977665_pe813728_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-grey-turquoise__0995565_pe821755_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-grey-turquoise__0995580_pe821765_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-grey-turquoise__0995558_pe821751_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-grey-turquoise__0995619_pe821791_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-grey-turquoise__1043712_ph177721_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-grey-turquoise__1043711_ph177987_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-desk-grey-turquoise__1016786_pe830634_s5.jpg?f=,
14,3568,70483429,alex,chests of drawers & drawer unit,749,no old pric,true,https://www.ikea.com/sa/en/p/alex-drawer-unit-on-castors-black-brown-70483429/,ye,"drawer unit on castors, black-brown,",johanna asshoff,48.0,66.0,67.0,https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-black-brown__0977783_pe813768_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-black-brown__0995595_pe821772_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-black-brown__0995618_pe821788_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-black-brown__1031759_pe836642_s5.jpg?f=,
15,3592,39422198,alex,chests of drawers & drawer unit,675,no old pric,true,https://www.ikea.com/sa/en/p/alex-drawer-unit-on-castors-grey-turquoise-black-s39422198/,ye,"drawer unit on castors, grey-turquoise/black,",unknown,,,,https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-grey-turquoise-black__0993106_pe820413_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-grey-turquoise-black__1053430_pe846944_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-grey-turquoise-black__1053431_pe846946_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-grey-turquoise-black__1046776_pe843191_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-grey-turquoise-black__1053432_pe846945_s5.jpg?f=,
16,3679,59422220,alex,chests of drawers & drawer unit,675,no old pric,true,https://www.ikea.com/sa/en/p/alex-drawer-unit-on-castors-white-black-s59422220/,ye,"drawer unit on castors, white/black,",unknown,,,,https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-white-black__0993108_pe820411_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-white-black__1053437_pe846948_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-white-black__1053435_pe846947_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-white-black__1053436_pe846949_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-on-castors-white-black__1046776_pe843191_s5.jpg?f=,
17,2555,473546,alex,chests of drawers & drawer unit,645,no old pric,true,https://www.ikea.com/sa/en/p/alex-drawer-unit-white-00473546/,ye,"drawer unit, white,",johanna asshoff,58.0,70.0,36.0,https://www.ikea.com/sa/en/images/products/alex-drawer-unit-white__0977775_pe813763_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-white__1043718_ph167220_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-white__0995650_ph172911_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-white__0995610_pe821781_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-white__0995620_pe821790_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-drawer-unit-white__0993390_pe820897_s5.jpg?f=,
