ID,Name,Brand,Designer,Availability,Online,Description,Type,Material,Country,Color,Depth,Height,Width,Volumn,OldPrice,Price,ChangeAmount,Discount,CurrentPrice,Shipment,Link,Images,Feedback,Ranking
40208531,ÄPPLARÖ,ÄPPLARÖ,K Hagberg/M Hagberg,TRUE,TRUE,"        Drop-leaf table, outdoor,          140/200/260x78 cm",Outdoor furniture,1,1,1,1,72,78,0,1,745,1,1,1,1,https://www.ikea.com/sa/en/p/aepplaroe-drop-leaf-table-outdoor-brown-stained-brown-40208531/,1,0,0
50304990,BRUSALI,BRUSALI,IKEA of Sweden,TRUE,TRUE,"        Corner desk,          120x73 cm",Tables & desks,1,,1,73,73,120,639480,1,325,1,1,1,1,https://www.ikea.com/sa/en/p/brusali-corner-desk-brown-50304990/,1,0,0
20398754,GRÖNLID,GRÖNLID,Francis Cayouette,TRUE,TRUE,        Cover for 2-seat sofa-bed section,Sofas & armchairs,,,,,,,0,,550,,,,,https://www.ikea.com/sa/en/p/groenlid-cover-for-2-seat-sofa-bed-section-sporda-natural-20398754/,,0,0
79265945,HAVSTA,HAVSTA,IKEA of Sweden,TRUE,TRUE,"        Storage combination w glass doors,          162x37x134 cm","Sideboards, buffets & console tables",,,,37,134,162,803196,,1950,,,,,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-white-s79265945/,,0,0
69111190,NORSBORG,NORSBORG,Ehlén Johansson,TRUE,TRUE,"        Cover for corner sofa, 5-seat",Sofas & armchairs,,,,,,,0,,1220,,,,,https://www.ikea.com/sa/en/p/norsborg-cover-for-corner-sofa-5-seat-finnsta-dark-grey-s69111190/,,0,0
69221339,EKEDALEN / HENRIKSDAL,EKEDALEN / HENRIKSDAL,Ehlén Johansson/IKEA of Sweden,TRUE,TRUE,"        Table and 4 chairs,          120/180 cm",Chairs,,,,,,,0,,1975,,,,,https://www.ikea.com/sa/en/p/ekedalen-henriksdal-table-and-4-chairs-white-orrsta-light-grey-s69221339/,,0,0
257953,GONATT,GONATT,J Asshoff/H Brogård,TRUE,TRUE,"        Cot,          60x120 cm",Nursery furniture,,,,,103,66,0,,1095,,,,,https://www.ikea.com/sa/en/p/gonatt-cot-light-grey-00257953/,,0,0
19057483,BESTÅ,BESTÅ,IKEA of Sweden,TRUE,TRUE,"        Wall cabinet with 2 doors,          60x22x128 cm",Bookcases & shelving units,,,,22,128,60,168960,,480,,,,,https://www.ikea.com/sa/en/p/besta-wall-cabinet-with-2-doors-lappviken-white-s19057483/,,0,0
10265293,BILLY,BILLY,IKEA of Sweden,TRUE,TRUE,"        Extra shelf,          36x26 cm",Bookcases & shelving units,,,,26,,36,0,,30,,,,,https://www.ikea.com/sa/en/p/billy-extra-shelf-white-10265293/,,0,0
19231152,HEMNES,HEMNES,Carina Bengs,TRUE,TRUE,"        Bookcase,          229x197 cm",Bookcases & shelving units,,,,37,197,229,1669181,,2346,,,,,https://www.ikea.com/sa/en/p/hemnes-bookcase-black-brown-s19231152/,,0,0
99297484,FLOTTEBO,FLOTTEBO,C Halskov/H Dalsgaard,TRUE,TRUE,"        Sofa-bed,          90 cm",Sofas & armchairs,,,,90,79,200,1422000,,1596,,,,,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-vissle-purple-s99297484/,,0,0
79046991,BEKANT,BEKANT,K Malmvall/E Lilja Löwenhielm,TRUE,TRUE,"        Reception desk,          160x80 120 cm",Tables & desks,,,,80,,,0,,1834,,,,,https://www.ikea.com/sa/en/p/bekant-reception-desk-white-s79046991/,,0,0
60246080,JANINGE,JANINGE,John/Jonas/Petrus/Paul/Caroline,TRUE,TRUE,        Chair,Chairs,,,,46,76,50,174800,,180,,,,,https://www.ikea.com/sa/en/p/janinge-chair-yellow-60246080/,,0,0
19302328,VIMLE,VIMLE,Ehlén Johansson,TRUE,TRUE,        Cover for 2-seat sofa,Sofas & armchairs,,,,,,,0,,775,,,,,https://www.ikea.com/sa/en/p/vimle-cover-for-2-seat-sofa-dalstorp-multicolour-s19302328/,,0,0
90299029,MUREN,MUREN,IKEA of Sweden,TRUE,TRUE,        Recliner,Chairs,,,,94,97,85,775030,,1395,,,,,https://www.ikea.com/sa/en/p/muren-recliner-nordvalla-beige-90299029/,,0,0
20390574,STALLARP,STALLARP,Carl Öjerstam,TRUE,TRUE,        Leg,TV & media furniture,,,,4,10,4,160,,45,,,,,https://www.ikea.com/sa/en/p/stallarp-leg-chrome-plated-20390574/,,0,0
20334314,BILLSBRO,BILLSBRO,H Preutz/A Fredriksson,TRUE,TRUE,"        Handle,          40 mm",Cabinets & cupboards,,,,,,,0,,15,,,,,https://www.ikea.com/sa/en/p/billsbro-handle-white-20334314/,,0,0
89305446,PLATSA,PLATSA,IKEA of Sweden,TRUE,TRUE,"        Bed frame with 10 doors,          143x244x223 cm",Beds,,,,40,43,143,245960,,2600.5,,,,,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-doors-white-s89305446/,,0,0
79248588,PLATSA,PLATSA,Ola Wihlborg/IKEA of Sweden,TRUE,TRUE,"        Wardrobe,          240x57x251 cm",Wardrobes,,,,57,251,240,3433680,,2296,,,,,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s79248588/,,0,0
50282177,LACK,LACK,IKEA of Sweden,TRUE,TRUE,"        Wall shelf,          30x26 cm",Bookcases & shelving units,,,,26,5,,0,,19,,,,,https://www.ikea.com/sa/en/p/lack-wall-shelf-white-50282177/,,0,0
80035920,FÖRHÖJA,FÖRHÖJA,Nike Karlsson,TRUE,TRUE,"        Kitchen trolley,          100x43 cm",Trolleys,,,,,90,43,0,,645,,,,,https://www.ikea.com/sa/en/p/foerhoeja-kitchen-trolley-birch-80035920/,,0,0
89283005,BROR,BROR,IKEA of Sweden,TRUE,TRUE,"        Shelving unit with cabinets,          85x40x110 cm",Bookcases & shelving units,,,,40,110,85,374000,,670,,,,,https://www.ikea.com/sa/en/p/bror-shelving-unit-with-cabinets-black-s89283005/,,0,0
30252911,BEKANT,BEKANT,K Malmvall/E Lilja Löwenhielm,TRUE,TRUE,"        Underframe for table top,          120x80 cm",Tables & desks,,,,,,80,0,,700,,,,,https://www.ikea.com/sa/en/p/bekant-underframe-for-table-top-white-30252911/,,0,0
29297294,MELLTORP / NILSOVE,MELLTORP / NILSOVE,Lisa Norinder/A Fredriksson/J Hultqvist/W Chong,TRUE,TRUE,"        Table and 2 chairs,          75x75 cm",Tables & desks,,,,,,75,0,,889,,,,,https://www.ikea.com/sa/en/p/melltorp-nilsove-table-and-2-chairs-white-rattan-white-s29297294/,,0,0
40266682,BOSNÄS,BOSNÄS,IKEA of Sweden,TRUE,TRUE,        Footstool with storage,Sofas & armchairs,,,,,36,36,0,,95,,,,,https://www.ikea.com/sa/en/p/bosnaes-footstool-with-storage-ransta-black-40266682/,,0,0
60293566,STUBBARP,STUBBARP,IKEA of Sweden,TRUE,TRUE,        Leg,Cabinets & cupboards,,,,44,100,44,193600,,35,,,,,https://www.ikea.com/sa/en/p/stubbarp-leg-black-brown-60293566/,,0,0
90309721,NILSERIK,NILSERIK,IKEA of Sweden,TRUE,TRUE,        Standing support,Chairs,,,,,,41,0,,195,,,,,https://www.ikea.com/sa/en/p/nilserik-standing-support-white-vissle-grey-90309721/,,0,0
29286865,BESTÅ / EKET,BESTÅ / EKET,Jon Karlsson/IKEA of Sweden,TRUE,TRUE,"        Cabinet combination for TV,          300x42x210 cm",Cabinets & cupboards,,,,42,210,300,2646000,,1578,,,,,https://www.ikea.com/sa/en/p/besta-eket-cabinet-combination-for-tv-white-light-grey-red-s29286865/,,0,0
70306243,FÄRLÖV,FÄRLÖV,Francis Cayouette,TRUE,TRUE,        Cover for footstool with storage,Sofas & armchairs,,,,,,,0,,195,,,,,https://www.ikea.com/sa/en/p/faerloev-cover-for-footstool-with-storage-flodafors-beige-70306243/,,0,0
