,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,product_img,
3700,10219178,ADDE,Dining furniture,SR49,No old price,TRUE,https://www.ikea.com/sa/en/p/adde-chair-white-10219178/,Yes,"Chair, white",Marcus Arvonen,34,45,39,https://www.ikea.com/sa/en/images/products/adde-chair-white__0728280_pe736170_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__0872085_pe594884_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__0872092_pe716742_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__1052546_pe846201_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__1052547_pe846202_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__1052545_pe846250_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__0437187_pe590726_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adde-chair-white__1052544_pe846199_s5.jpg?f=s,
2605,90217972,ADILS,Tables & desks,SR35,No old price,TRUE,https://www.ikea.com/sa/en/p/adils-leg-white-90217972/,Yes,"Leg, white",Unknown,,70,,https://www.ikea.com/sa/en/images/products/adils-leg-white__0734621_pe739540_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adils-leg-white__1028383_pe835319_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adils-leg-white__1158813_pe888197_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/adils-leg-white__0849380_pe559901_s5.jpg?f=s,
3866,19481565,ÄLVSTA,Dining furniture,SR309,No old price,TRUE,https://www.ikea.com/sa/en/p/aelvsta-chair-handmade-rattan-sefast-white-s19481565/,Yes,"Chair, handmade rattan/Sefast white",Unknown,,,,https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1115725_pe872233_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1122530_pe874613_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1122529_pe874611_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1115724_pe872234_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1115723_pe872232_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1115697_pe872217_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1122531_pe874612_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aelvsta-chair-handmade-rattan-sefast-white__1099831_pe865948_s5.jpg?f=s,
2751,30492275,ÄNGESBYN,Chests of drawers & drawer units,SR499,No old price,TRUE,https://www.ikea.com/sa/en/p/aengesbyn-storage-table-black-pine-light-brown-stained-30492275/,No,"Storage table, black/pine light brown stained,",Johanna Jelinek,,48,,https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055447_pe848035_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1058047_ph181466_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1119726_ph184642_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055665_pe848032_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055445_pe848036_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055444_pe848034_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055664_pe848033_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aengesbyn-storage-table-black-pine-light-brown-stained__1055663_pe848031_s5.jpg?f=s,
856,20506225,ÄPPLARYD,Sofas,"SR3,495",No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaryd-2-seat-sofa-lejde-grey-black-20506225/,Yes,"2-seat sofa, Lejde grey/black",Maja Ganszyniec,61,47,199,https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__0992862_pe820289_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1023705_pe833223_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1031509_pe836509_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1032008_pe836731_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1031505_pe836505_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1032006_pe836733_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1039251_pe840105_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-lejde-grey-black__1134557_pe878807_s5.jpg?f=s,
789,99429535,ÄPPLARYD,Sofas,"SR5,990",No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black-s99429535/,Yes,"4-seat sofa with chaise longue, Lejde grey/black",Unknown,,,,https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1010449_pe828074_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1036581_pe838458_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1023725_pe833239_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1031540_pe836523_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1031536_pe836519_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1031505_pe836505_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-4-seat-sofa-with-chaise-longue-lejde-grey-black__1031509_pe836509_s5.jpg?f=s,
877,20506268,ÄPPLARYD,Sofas,"SR1,995",No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaryd-chaise-longue-section-lejde-light-grey-20506268/,Yes,"Chaise longue section, Lejde light grey",Maja Ganszyniec,129,47,93,https://www.ikea.com/sa/en/images/products/aepplaryd-chaise-longue-section-lejde-light-grey__0992962_pe820367_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-chaise-longue-section-lejde-light-grey__1031541_pe836518_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aepplaryd-chaise-longue-section-lejde-light-grey__1031537_pe836520_s5.jpg?f=s,
486,20556461,AFTONSPARV,Children's furniture,SR129,No old price,TRUE,https://www.ikea.com/sa/en/p/aftonsparv-childrens-tent-rocket-white-red-20556461/,No,"Children's tent, rocket white/red",Marta Krupińska,,135,118,https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1182762_pe897294_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1192987_pe901307_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1196159_pe902807_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1192999_pe901312_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1193002_pe901314_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1196160_pe902812_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1268878_ph194468_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/aftonsparv-childrens-tent-rocket-white-red__1268557_ph195772_s5.jpg?f=s,
578,70253541,AGAM,Dining furniture,SR279,No old price,TRUE,https://www.ikea.com/sa/en/p/agam-junior-chair-black-70253541/,No,"Junior chair, black",IKEA of Sweden,29,52,28,https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__0727930_pe735946_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__0873588_pe613512_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__0873572_pe613490_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__0873584_pe613510_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__1062081_pe850647_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__1081315_ph172519_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__1094871_ph179967_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-black__1094870_ph180112_s5.jpg?f=s,
570,90253535,AGAM,Dining furniture,SR279,No old price,TRUE,https://www.ikea.com/sa/en/p/agam-junior-chair-white-90253535/,No,"Junior chair, white",IKEA of Sweden,29,52,28,https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__0727929_pe735943_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__0873896_pe613517_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1094863_ph167225_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1094864_ph167091_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1062081_pe850647_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1094859_ph178194_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__1094865_ph176199_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/agam-junior-chair-white__0873871_pe613509_s5.jpg?f=s,
