product_page_link,product_product_name,product_product_size,product_describe,product_price_now,product_img,product_product_size_url
https://www.ikea.com/sa/en/p/eket-wall-mounted-cabinet-combination-white-light-grey-blue-s79521667/,EKET,175x35x70 cm,"Wall-mounted cabinet combination, white/light grey-blue,","SR 1,318",https://www.ikea.com/sa/en/images/products/eket-wall-mounted-cabinet-combination-white-light-grey-blue__1219339_pe913426_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/eket-wall-mounted-cabinet-combination-white-light-grey-blue__1238033_pe918262_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/eket-wall-mounted-cabinet-combination-white-light-grey-blue__1238032_pe918264_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/eket-wall-mounted-cabinet-combination-white-light-grey-blue__0553788_pe659558_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/eket-wall-mounted-cabinet-combination-white-light-grey-blue__0631841_pe695226_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/pax-wardrobe-with-2-doors-white-fardal-high-gloss-white-s99904392/,PAX,100x37x201 cm,"Wardrobe with 2 doors, white/Fardal high-gloss/white,","SR 1,150",https://www.ikea.com/sa/en/images/products/pax-wardrobe-with-2-doors-white-fardal-high-gloss-white__0646156_pe703991_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/pax-wardrobe-with-2-doors-white-fardal-high-gloss-white__43280_pe139002_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/alex-storage-unit-on-castors-grey-turquoise-black-s99541947/,ALEX,36x76 cm,"Storage unit on castors, grey-turquoise/black,",SR 375,https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-grey-turquoise-black__1223400_pe914629_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-grey-turquoise-black__1225058_pe915119_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-grey-turquoise-black__1209810_pe909453_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-grey-turquoise-black__1223608_pe914652_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/bergmund-bar-stool-with-backrest-white-orrsta-light-grey-s09388191/,BERGMUND,75 cm,"Bar stool with backrest, white/Orrsta light grey,",SR 465,https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-orrsta-light-grey__0926508_pe789295_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-orrsta-light-grey__0926509_pe789298_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-orrsta-light-grey__1052826_pe846442_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-orrsta-light-grey__0926511_pe789296_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-orrsta-light-grey__0926510_pe789297_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-orrsta-light-grey__1052825_pe846441_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-orrsta-light-grey__0926520_pe789305_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown-s89420489/,BESTÅ,120x42x74 cm,"TV bench with doors, white/Lappviken/Stubbarp light grey-brown,","SR 1,255",https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown__0994303_pe820943_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown__0999809_pe823828_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown__0990256_pe818833_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown__1001960_pe824557_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown__0843389_pe535717_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown__0763979_pe753013_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown__0847860_pe591177_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown__1026904_pe834613_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/glenn-bar-stool-white-chrome-plated-60131734/,GLENN,66 cm,"Bar stool, white/chrome-plated,",SR 499,https://www.ikea.com/sa/en/images/products/glenn-bar-stool-white-chrome-plated__0728083_pe736048_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/glenn-bar-stool-white-chrome-plated__0209707_pe247825_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/glenn-bar-stool-white-chrome-plated__1250324_pe923708_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/glenn-bar-stool-white-chrome-plated__0873983_pe600734_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/glenn-bar-stool-white-chrome-plated__0873962_pe600695_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/glenn-bar-stool-white-chrome-plated__0451733_pe600710_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/arkelstorp-desk-black-60261037/,ARKELSTORP,140x70 cm,"Desk, black,","SR 1,295",https://www.ikea.com/sa/en/images/products/arkelstorp-desk-black__0735967_pe740301_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/arkelstorp-desk-black__0802362_ph162375_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/arkelstorp-desk-black__0939545_ph171072_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/arkelstorp-desk-black__0849208_pe565265_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/arkelstorp-desk-black__0276309_pe414745_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/arkelstorp-desk-black__0526854_pe645209_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/billy-height-extension-unit-black-brown-70263856/,BILLY,80x28x35 cm,"Height extension unit, black-brown,",SR 159,https://www.ikea.com/sa/en/images/products/billy-height-extension-unit-black-brown__0720629_pe732729_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/billy-height-extension-unit-black-brown__0849200_pe421873_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer-s39420298/,BESTÅ,180x42x39 cm,"TV bench with drawers and door, black-brown Hedeviken/dark brown stained oak veneer,","SR 1,710",https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer__0994256_pe820914_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer__0994821_pe821419_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer__0994822_pe821432_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer__0998409_pe823026_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer__1001954_pe824550_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer__0843438_pe535720_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer__0720089_pe732401_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-bench-with-drawers-and-door-black-brown-hedeviken-dark-brown-stained-oak-veneer__1026898_pe834624_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/hemnes-glass-door-cabinet-with-3-drawers-black-brown-light-brown-50452297/,HEMNES,90x197 cm,"Glass-door cabinet with 3 drawers, black-brown/light brown,","SR 1,945",https://www.ikea.com/sa/en/images/products/hemnes-glass-door-cabinet-with-3-drawers-black-brown-light-brown__0806986_pe770200_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-glass-door-cabinet-with-3-drawers-black-brown-light-brown__1052039_pe845890_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-glass-door-cabinet-with-3-drawers-black-brown-light-brown__0834414_pe778301_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-glass-door-cabinet-with-3-drawers-black-brown-light-brown__0978646_pe814199_s5.jpg?f=s,
